{Xperia Pro-I =13, Xperia 10 III =19}
{Xperia Pro-I =8, Xperia 10 III =10}
{Xperia Pro-I =12, Xperia 10 III =12}
{Xperia Pro-I =30, Xperia 10 III =18}
{Xperia Pro-I =26, Xperia 10 III =19}
{Xperia Pro-I =17, Xperia 10 III =11}
{Xperia Pro-I =12, Xperia 10 III =11}
{Xperia Pro-I =29, Xperia 10 III =28}
{Xperia Pro-I =12, Xperia 10 III =8}
{Xperia Pro-I =17, Xperia 10 III =18}
{Xperia Pro-I =12, Xperia 10 III =14}
{Xperia Pro-I =9, Xperia 10 III =6}
{Xperia Pro-I =6, Xperia 10 III =9}
{Xperia Pro-I =23, Xperia 10 III =17}
{Xperia Pro-I =12, Xperia 10 III =11}
{Xperia Pro-I =7, Xperia 10 III =5}
{Xperia Pro-I =2, Xperia 10 III =3}
{Xperia Pro-I =5, Xperia 10 III =5}
{Xperia Pro-I =10, Xperia 10 III =4}
{Xperia Pro-I =3, Xperia 10 III =3}
{Xperia Pro-I =2, Xperia 10 III =1}
{Xperia Pro-I =17, Xperia 10 III =16}
{Xperia Pro-I =4, Xperia 10 III =6}
